repo_url,owner,repo,bugs,code_smells,vulnerabilities,security_hotspots,vuln_blocker,vuln_critical,vuln_major,vuln_minor,vuln_info,ncloc,files,functions
https://github.com/BhangeeF16/dot-net-6-api-cqrs,bhangeef16,dot-net-6-api-cqrs,10,482,0,12,2,15,418,45,12,6363,161,892
https://github.com/microsoft/franceconnect-identity-provider-dotnet-webapi-aspnetcore,microsoft,franceconnect-identity-provider-dotnet-webapi-aspnetcore,6,140,0,2,5,22,72,32,15,4262,113,384
https://github.com/SammyHammami/OliveBlazor,sammyhammami,oliveblazor,7,202,0,2,0,18,150,31,10,5519,172,576
https://github.com/coredevsushant/mcp.example,coredevsushant,mcp.example,0,8,0,0,0,1,4,1,2,137,5,21
https://github.com/MirabbosEgamberdiyev/LazyCatWithMongoDb,mirabbosegamberdiyev,lazycatwithmongodb,0,14,0,2,0,2,8,3,1,830,27,92
https://github.com/pxlit-projects/Guts-DotNetAdvanced,pxlit-projects,guts-dotnetadvanced,0,114,0,0,0,0,68,14,32,12337,43,75
https://github.com/vik37/HR.LeaveManagement,vik37,hr.leavemanagement,2,93,0,1,0,3,30,32,30,6290,169,656
https://github.com/Subrata019/SolidPrinciples,subrata019,solidprinciples,0,35,0,0,0,0,4,15,16,443,41,71
https://github.com/Athena65/BankInfo.Web.Api,athena65,bankinfo.web.api,0,14,0,1,0,2,10,2,0,1272,13,46
https://github.com/Argatski/SoftUni,argatski,softuni,66,188,0,4,0,8,173,73,0,8166,304,220
https://github.com/Sanjeevi-046/CodeNest,sanjeevi-046,codenest,19,75,0,1,0,8,64,22,0,3271,69,196
https://github.com/Armanzahedi/CleanArchitectureTemplate,armanzahedi,cleanarchitecturetemplate,1,102,0,0,0,4,49,25,25,2171,100,206
https://github.com/joachimbulow/dotnet-graphql-starterpack,joachimbulow,dotnet-graphql-starterpack,5,75,0,1,0,2,30,9,39,922,40,93
https://github.com/ThomasJson/Blazor-Template,thomasjson,blazor-template,1,17,0,0,0,1,9,6,2,1598,45,165
https://github.com/zyuzyakin/Names,zyuzyakin,names,0,24,0,0,1,3,10,8,2,379,13,42
https://github.com/BillChirico/GolfClapBot,billchirico,golfclapbot,0,8,0,2,0,1,5,2,0,253,9,34
https://github.com/PDMLab/aspnetcore-vite-react-template,pdmlab,aspnetcore-vite-react-template,8,186,0,3,3,26,127,23,15,7482,142,561
https://github.com/cledsonfs-cmd/Template-DotNet-API,cledsonfs-cmd,template-dotnet-api,0,58,0,5,0,1,41,11,5,1502,17,76
https://github.com/mrahhal/template-roslyn-analyzer,mrahhal,template-roslyn-analyzer,0,6,0,0,0,0,2,0,4,56,3,6
https://github.com/BhangeeF16/dot-net-6-api-controller-base,bhangeef16,dot-net-6-api-controller-base,37,817,0,10,0,21,781,45,7,6857,116,691
https://github.com/BenJarrett/Ultimate-Team,benjarrett,ultimate-team,0,111,0,15,0,3,76,32,0,2638,56,721
https://github.com/karafra/DiscordBotTemplate,karafra,discordbottemplate,0,4,0,2,1,0,3,0,0,14,1,0
https://github.com/intersystems-community/native-api-contest-template,intersystems-community,native-api-contest-template,1,17,0,11,2,1,6,9,0,196,6,4
