language,outcome,predictor,n,coef,IRR,IRR_CI_low,IRR_CI_high,p_raw,p_adj_bh_by_language,p_adj_bonf_by_language,sig_raw,sig_bh_by_language,sig_bonf_by_language,p_adj_bh_global,p_adj_bonf_global,sig_bh_global,sig_bonf_global,used_regularized
Java,vuln_major,owner_is_org,262,0.650434405275579,1.9163731308206662,1.1641058942989126,3.1547696773266245,0.01054502834550208,0.06334072557071298,0.5694315306571123,True,False,False,0.03847510342277786,1.0,True,False,False
Java,vuln_major,repo_age_days,262,-0.0003705066371074103,0.9996295619920006,0.9993054661231373,0.9999537629719993,0.02512735625950528,0.11307310316777376,1.0,True,False,False,0.06922843051088189,1.0,False,False,False
Java,vuln_major,staleness_days,262,-0.002987965904432206,0.9970164936229465,0.9959746380796698,0.9980594390162371,2.1270711702010507e-08,1.1486184319085675e-06,1.1486184319085673e-06,True,True,True,5.220992872311669e-07,5.7430921595428365e-06,True,True,False
Java,vuln_minor,commits_last_12m,262,0.007062954846716387,1.0070879563391095,0.999658701345041,1.014572424006956,0.06153871219063798,0.1954759093114383,1.0,False,False,False,0.13846210242893547,1.0,False,False,False
Java,vuln_minor,log_forks,262,0.37502909933587414,1.4550337545180978,0.7857658582853627,2.6943436196208044,0.23286569781413147,0.4336119890332103,1.0,False,False,False,0.3701218370769146,1.0,False,False,False
Java,vuln_minor,log_stars,262,-0.47181043957561936,0.6238717631057935,0.35106849421011765,1.1086610824376113,0.10776275930902214,0.25339821710009747,1.0,False,False,False,0.21116518091674794,1.0,False,False,False
Java,vuln_minor,owner_is_org,262,-0.4236512923889999,0.6546521242899154,0.2519783794402687,1.7008181606267165,0.3844724476054413,0.5331226790566858,1.0,False,False,False,0.5296304125176997,1.0,False,False,False
Java,vuln_minor,repo_age_days,262,-0.00025253744217951316,0.9997474944427163,0.9991064010857966,1.0003889991679265,0.44033936071357715,0.5504516360350445,1.0,False,False,False,0.5743556878872745,1.0,False,False,False
Java,vuln_minor,staleness_days,262,-0.0024303387614651624,0.9975726121207507,0.9959856424417177,0.9991621104233449,0.0027725929422009045,0.02495333647980814,0.14972001887884884,True,True,False,0.012688137193122782,0.7486000943942442,True,False,False
Java,vulnerabilities,commits_last_12m,262,0.002134377819484181,1.0021366572252381,0.9981414963498394,1.0061478091304445,0.29499033016606224,0.46851405379315764,1.0,False,False,False,0.4282117695958968,1.0,False,False,False
Java,vulnerabilities,log_forks,262,0.21448300363345074,1.2392210585401502,0.9020358807537134,1.702447612888983,0.18560997728248463,0.3854976451251604,1.0,False,False,False,0.3132168366641928,1.0,False,False,False
Java,vulnerabilities,log_stars,262,0.37582218391728556,1.4561881770710936,0.9209192036385366,2.3025733404881086,0.10792887024633782,0.25339821710009747,1.0,False,False,False,0.21116518091674794,1.0,False,False,False
Java,vulnerabilities,owner_is_org,262,-1.9532510329057207,0.14181228494666254,0.05432217716472338,0.3702120425109404,6.618641446550766e-05,0.0008935165952843534,0.0035740663811374136,True,True,True,0.0005584478720527208,0.017870331905687067,True,True,False
Java,vulnerabilities,repo_age_days,262,-0.0002000101914208057,0.9998000098092841,0.9993196582381486,1.0002805922751388,0.41465097259964445,0.5331226790566858,1.0,False,False,False,0.5569938437905672,1.0,False,False,False
Java,vulnerabilities,staleness_days,262,0.0007465101134778719,1.0007467888215011,0.9989739806343041,1.0025227430855024,0.4092558244328248,0.5331226790566858,1.0,False,False,False,0.5524953629843136,1.0,False,False,False
JavaScript,bugs,commits_last_12m,3698,-1.0827916989732065e-05,0.999989172141632,0.9999846859906909,0.9999936583126988,2.2389058431306332e-06,1.34334350587838e-05,0.00012090091552905419,True,True,True,2.8785932268822425e-05,0.000604504577645271,True,True,False
JavaScript,bugs,log_forks,3698,0.8284479671638898,2.289762194927118,1.4401009828133882,3.6407244852195584,0.0004627929159635299,0.0013153061822121375,0.024990817462030614,True,True,True,0.002905909007212862,0.12495408731015308,True,False,False
JavaScript,bugs,log_stars,3698,-0.4986100945207661,0.6073742661306736,0.4273353662664781,0.8632646120090448,0.00544178096798991,0.010473218747431755,0.2938561722714551,True,True,False,0.022261831232685995,1.0,True,False,False
JavaScript,bugs,owner_is_org,3698,-0.9706428424711906,0.37883942573697515,0.19502686356030927,0.7358950857984742,0.004167390369376953,0.00865534922870598,0.22503907994635544,True,True,False,0.01758117812080902,1.0,True,False,False
JavaScript,bugs,repo_age_days,3698,0.000452982554515538,1.000453085166606,0.9999695749519832,1.0009368291704697,0.06626828289321977,0.08728017746911872,1.0,False,False,False,0.14665931459974868,1.0,False,False,False
JavaScript,bugs,staleness_days,3698,0.0006220244062921331,1.000622217903591,0.9987013940385921,1.0025467361304308,0.5257647533556272,0.5678259336240774,1.0,False,False,False,0.657205941694534,1.0,False,False,False
JavaScript,code_smells,commits_last_12m,3698,-2.9229348068051013e-06,0.999997077069465,0.9999918349323073,1.0000023192341028,0.2744642217295781,0.30877224944577536,1.0,False,False,False,0.40494721238790204,1.0,False,False,False
JavaScript,code_smells,log_forks,3698,0.3441653703964892,1.4108119227447813,1.0960344093096945,1.8159925130566077,0.007543583271525753,0.01314043537620615,0.4073534966623906,True,True,False,0.02868686596214019,1.0,True,False,False
JavaScript,code_smells,log_stars,3698,-0.34568307458944536,0.7077367513275885,0.5259876409685564,0.9522872215350627,0.022441373903134755,0.032752275426196666,1.0,True,True,False,0.0644592654664509,1.0,False,False,False
JavaScript,code_smells,owner_is_org,3698,-0.7296664091173533,0.48206977735265333,0.30343919316969853,0.7658577911748924,0.0020054218444491142,0.004708381721750094,0.10829277960025217,True,True,False,0.00984479814547747,0.5414638980012608,True,False,False
JavaScript,code_smells,repo_age_days,3698,0.0005777399653457833,1.0005779068892242,1.000169125411639,1.0009868554408494,0.005586806095414862,0.010473218747431755,0.30168752915240254,True,True,False,0.022332598799670655,1.0,True,False,False
JavaScript,code_smells,staleness_days,3698,-0.001748769825395171,0.9982527583815987,0.9973732834933507,0.9991330087829788,0.00010077517614243362,0.0003887042508351011,0.005441859511691415,True,True,True,0.0008245241684380932,0.027209297558457076,True,True,False
JavaScript,security_hotspots,commits_last_12m,3698,2.0896028212245217e-05,1.0000208962465358,0.9999879558464232,1.0000538377317314,0.21374786033513005,0.25092140126297874,1.0,False,False,False,0.3476621824728019,1.0,False,False,False
JavaScript,security_hotspots,log_forks,3698,0.6056182665245918,1.8323847608980337,1.5193437645421775,2.2099237778377936,2.357636847517164e-10,6.365619488296343e-09,1.2731238976592686e-08,True,True,True,9.093742126137633e-09,6.365619488296344e-08,True,True,False
JavaScript,security_hotspots,log_stars,3698,-0.43813626847416337,0.6452378512888127,0.526516843275833,0.7907285209443812,2.4083673087087e-05,0.00010003987282328445,0.0013005183467026979,True,True,True,0.00024083673087086998,0.00650259173351349,True,True,False
JavaScript,security_hotspots,owner_is_org,3698,-0.8475509183443127,0.4284629888825807,0.29128273153351064,0.6302485968725353,1.6732457111413942e-05,7.529605700136274e-05,0.0009035526840163528,True,True,True,0.00017376013154160632,0.004517763420081765,True,True,False
JavaScript,security_hotspots,repo_age_days,3698,4.5600780729724214e-05,1.000045601820461,0.9998044801861347,1.0002867816057999,0.710906100900762,0.738248643243099,1.0,False,False,False,0.8190952923642031,1.0,False,False,False
JavaScript,security_hotspots,staleness_days,3698,-0.0009439557643086184,0.9990564896217813,0.9981377579144126,0.9999760669718916,0.04433072040915007,0.06138099748959241,1.0,True,False,False,0.10592296026965062,1.0,False,False,False
JavaScript,vuln_blocker,commits_last_12m,3698,2.0941266240923976e-05,1.0000209414855108,1.000017737727142,1.0000241452541434,1.4139140103474633e-37,7.635135655876302e-36,7.635135655876302e-36,True,True,True,3.8175678279381507e-35,3.8175678279381507e-35,True,True,False
