sample_group,repo_url,original_link_repository,owner_type,owner_is_org,created_at,updated_at,repo_age_days,staleness_days,stars,forks,commits_last_12m,ncloc,files,functions,composite_score,mixedness_score,n_metrics_used,strata,repo_context,top_worst_metrics
worst,https://github.com/cq-panda/Vue.NetCore,https://github.com/cq-panda/Vue.NetCore,User,0,2019-09-23 08:19:25,2025-11-07 10:52:06,2314,13,4152,1345,79,300239,2098,18342,0.7421188630490955,0.21435895743928468,9,user|high,"age=2314d, stale=13d, commits12m=79, stars=4152, forks=1345",vuln_critical_per_ncloc:0.98; vuln_blocker_per_ncloc:0.93; bugs_per_ncloc:0.92
worst,https://github.com/beetlex-io/BeetleX,https://github.com/beetlex-io/BeetleX,User,0,2018-09-05 01:02:44,2025-10-04 13:58:03,2697,47,1197,245,0,9198,56,1093,0.7121447028423773,0.19924742730440118,9,user|high,"age=2697d, stale=47d, commits12m=0, stars=1197, forks=245",bugs_per_ncloc:0.92; vulnerabilities_per_ncloc:0.92; vuln_critical_per_ncloc:0.87
worst,https://github.com/specklesystems/SpeckleAutomateDotnetExample,https://github.com/specklesystems/SpeckleAutomateDotnetExample,Organization,1,2023-08-10 10:01:40,2025-09-15 10:33:08,897,66,8,8,4,59,4,7,0.724547803617571,0.3060837767813732,9,org|low,"age=897d, stale=66d, commits12m=4, stars=8, forks=8",bugs_per_ncloc:0.99; vuln_info_per_ncloc:0.95; security_hotspots_per_ncloc:0.95
worst,https://github.com/Azure-Samples/containerapps-albumapi-csharp,https://github.com/Azure-Samples/containerapps-albumapi-csharp,Organization,1,2022-04-07 21:00:54,2025-10-06 09:14:01,1386,45,17,751,0,54,2,1,0.6493540051679587,0.35952950178321225,9,org|low,"age=1386d, stale=45d, commits12m=0, stars=17, forks=751",vuln_minor_per_ncloc:1.00; bugs_per_ncloc:0.99; security_hotspots_per_ncloc:0.98
worst,https://github.com/SkyAlumny/TTY-SPOOFER,https://github.com/SkyAlumny/TTY-SPOOFER,User,0,2023-11-16 16:24:01,2025-10-30 18:07:52,798,21,32,2,36,1787,10,160,0.6772609819121447,0.27304489083136135,9,user|mid,"age=798d, stale=21d, commits12m=36, stars=32, forks=2",vuln_critical_per_ncloc:0.96; vuln_major_per_ncloc:0.95; code_smells_per_ncloc:0.93
worst,https://github.com/mohamedelareeg/CleanArchitecture,https://github.com/mohamedelareeg/CleanArchitecture,User,0,2024-01-01 12:16:56,2025-11-08 10:16:48,753,12,75,15,0,2993,94,365,0.6281653746770026,0.22135957194696262,9,user|mid,"age=753d, stale=12d, commits12m=0, stars=75, forks=15",vuln_major_per_ncloc:0.90; vuln_critical_per_ncloc:0.89; code_smells_per_ncloc:0.84
worst,https://github.com/microsoft/vscode-remote-try-dotnet,https://github.com/microsoft/vscode-remote-try-dotnet,Organization,1,2019-04-20 00:58:52,2025-11-02 01:40:36,2470,18,262,230,0,24,1,8,0.6602067183462532,0.3852970527801593,9,org|high,"age=2470d, stale=18d, commits12m=0, stars=262, forks=230",bugs_per_ncloc:1.00; vuln_info_per_ncloc:0.98; security_hotspots_per_ncloc:0.97
worst,https://github.com/skills/secure-repository-supply-chain,https://github.com/skills/secure-repository-supply-chain,Organization,1,2022-11-08 15:17:49,2025-11-05 04:19:54,1171,15,167,157,14,142,6,18,0.6281653746770026,0.27427184793872017,9,org|high,"age=1171d, stale=15d, commits12m=14, stars=167, forks=157",security_hotspots_per_ncloc:0.93; vuln_critical_per_ncloc:0.90; vuln_minor_per_ncloc:0.89
mixed,https://github.com/karafra/DiscordBotTemplate,https://github.com/karafra/DiscordBotTemplate,User,0,2022-02-13 00:58:50,2025-10-14 21:06:24,1440,36,2,0,64,14,1,0,0.5697674418604651,0.40956486030565126,9,user|very_low,"age=1440d, stale=36d, commits12m=64, stars=2, forks=0",security_hotspots_per_ncloc:1.00; vuln_blocker_per_ncloc:1.00; vuln_major_per_ncloc:0.99
mixed,https://github.com/DurgaDuttTiwari/Reqnroll-Automation-Demo-Test-Framework,https://github.com/DurgaDuttTiwari/Reqnroll-Automation-Demo-Test-Framework,User,0,2025-04-09 16:39:56,2025-04-27 12:37:28,288,207,2,1,53,0,0,0,0.4018087855297157,0.3595765074468155,9,user|very_low,"age=288d, stale=207d, commits12m=53, stars=2, forks=1",code_smells_per_ncloc:1.00; vuln_info_per_ncloc:1.00; vulnerabilities_per_ncloc:0.43
mixed,https://github.com/0Ankit0/AspDotNotApi_template,https://github.com/0Ankit0/AspDotNotApi_template,User,0,2024-03-19 01:30:47,2025-08-29 15:11:11,675,83,4,0,0,0,0,0,0.5082687338501292,0.3837845456624505,9,user|low,"age=675d, stale=83d, commits12m=0, stars=4, forks=0",code_smells_per_ncloc:1.00; vuln_major_per_ncloc:1.00; vuln_info_per_ncloc:1.00
mixed,https://github.com/razondpro/UserService,https://github.com/razondpro/UserService,User,0,2023-08-01 12:18:36,2024-03-17 10:40:00,906,613,5,0,0,0,0,0,0.4007751937984496,0.35765786092863305,9,user|low,"age=906d, stale=613d, commits12m=0, stars=5, forks=0",code_smells_per_ncloc:0.99; vuln_info_per_ncloc:0.99; vulnerabilities_per_ncloc:0.43
mixed,https://github.com/gitpod-samples/template-dotnet-core-cli-csharp,https://github.com/gitpod-samples/template-dotnet-core-cli-csharp,Organization,1,2020-12-08 14:19:13,2024-08-11 20:06:46,1871,465,35,100,0,12,2,1,0.49638242894056855,0.3743574106989946,9,org|mid,"age=1871d, stale=465d, commits12m=0, stars=35, forks=100",security_hotspots_per_ncloc:0.99; vuln_major_per_ncloc:0.98; code_smells_per_ncloc:0.95
mixed,https://github.com/noamyogev84/ConcurrentPriorityQueue,https://github.com/noamyogev84/ConcurrentPriorityQueue,User,0,2019-07-10 19:39:56,2025-06-17 08:12:59,2388,156,32,11,0,152,6,20,0.3981912144702842,0.35286967309409273,9,user|mid,"age=2388d, stale=156d, commits12m=0, stars=32, forks=11",vuln_info_per_ncloc:0.98; code_smells_per_ncloc:0.98; vulnerabilities_per_ncloc:0.43
mixed,https://github.com/PepperDash/EssentialsPluginTemplate,https://github.com/PepperDash/EssentialsPluginTemplate,Organization,1,2020-02-12 23:30:09,2025-07-29 19:05:33,2171,113,3,18,15,394,8,45,0.5824289405684755,0.3364870193809656,9,org|very_low,"age=2171d, stale=113d, commits12m=15, stars=3, forks=18",vuln_info_per_ncloc:0.97; vuln_critical_per_ncloc:0.92; code_smells_per_ncloc:0.92
mixed,https://github.com/EggLinks/DanhengPlugin-BasePlugin,https://github.com/EggLinks/DanhengPlugin-BasePlugin,Organization,1,2024-06-01 12:52:01,2025-07-13 20:27:57,601,129,5,3,0,29,2,3,0.46201550387596896,0.3307746124480078,9,org|low,"age=601d, stale=129d, commits12m=0, stars=5, forks=3",vuln_minor_per_ncloc:0.94; vuln_info_per_ncloc:0.92; code_smells_per_ncloc:0.76
mixed,https://github.com/iayti/CleanArchitecture,https://github.com/iayti/CleanArchitecture,User,0,2020-08-10 18:48:14,2025-10-31 14:06:16,1991,20,724,128,0,3846,102,510,0.5304909560723514,0.28032287564252956,9,user|high,"age=1991d, stale=20d, commits12m=0, stars=724, forks=128",vulnerabilities_per_ncloc:0.92; vuln_blocker_per_ncloc:0.90; vuln_minor_per_ncloc:0.73
mixed,https://github.com/ServUO/ServUO,https://github.com/ServUO/ServUO,Organization,1,2013-10-27 13:32:32,2025-11-06 17:43:27,4470,14,705,557,20,950788,6270,102486,0.5912144702842377,0.24890723253458982,9,org|high,"age=4470d, stale=14d, commits12m=20, stars=705, forks=557",vuln_minor_per_ncloc:0.91; vuln_critical_per_ncloc:0.89; vuln_blocker_per_ncloc:0.80
